t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
9.200000000000001,CIRCLE,-0.27344971096176685,0.9090591202048502,0.5002845661396609,-0.25873701567274293,-0.17092301816311367,-6.818900751726133e-05,0.019415359720464966,0.005702409724803683,0.0004917326201511139,-0.2898112807225518,0.907442537747293,0.5,0.000436910693420434,-9.635793298149635e-05,2.3204499169277232e-05,40.69131295949918,40.691356725993494,40.691174983267835,40.69113121677352,0.016443700367221363
9.36,CIRCLE,-0.3132721831163681,0.8792633498505175,0.5002738823912171,-0.24192982661014592,-0.19616460194434987,-6.595037606928333e-05,0.018623424557521574,0.007798443959432438,0.0005217349313066126,-0.3292396602792048,0.8762994101765691,0.5,0.00043671915428120073,-9.460007854479157e-05,2.0243377418569625e-06,40.6913018987416,40.69130571688762,40.69112728968821,40.69112347154219,0.01624254527162339
9.52,CIRCLE,-0.3501354817069341,0.8456173761575357,0.5002634715376639,-0.22232981008595804,-0.21940878337831074,-6.45911480470797e-05,0.017641532334420194,0.009844767207178019,0.0005490865478084762,-0.36534338892819374,0.8413564239419884,0.5,0.00043668794945635864,-9.169040651817325e-05,-1.907905177339804e-05,40.691314270502275,40.69127828510113,40.69110534589538,40.69114133129652,0.015795745410862316
9.68,CIRCLE,-0.3836088794855097,0.8084638037913999,0.5002532076488296,-0.20011404823138712,-0.24041902371515397,-6.394096894035318e-05,0.016480845453572947,0.011797007955443868,0.0005726175719501524,-0.3977578924437973,0.8029664321317934,0.5,0.0004368170404870932,-8.773297210343234e-05,-3.7082988565133855e-05,40.69134731644202,40.69127737343671,40.69111189843132,40.69118184143663,0.015181560426091267
9.84,CIRCLE,-0.413295978363863,0.7681807535154942,0.5002430012555873,-0.17552066386471676,-0.25898336920085263,-6.372244063687951e-05,0.01515435560856114,0.013616543612722173,0.0005917066584672124,-0.4261558502703957,0.7615170955794593,0.5,0.0004370824101193194,-8.347607241962875e-05,-5.330971560145643e-05,40.69139930557752,40.691298757000794,40.69114131102349,40.69124185960022,0.014485844543937587
10.0,CIRCLE,-0.4388434010781087,0.7251777419784906,0.5002328178517366,-0.14883746491532754,-0.2749162089800293,-6.358300535314665e-05,0.013676080604308307,0.015271087957854743,0.0006061756075803819,-0.4502505007943247,0.7174269682777641,0.5,0.0004374365217577527,-7.823529438947402e-05,-6.67770471694551e-05,40.69146137531641,40.69133542572213,40.69118786448659,40.69131381408087,0.013793136737075306
10.16,CIRCLE,-0.4599476874671751,0.6798913680216218,0.5002226765038138,-0.1203910195822804,-0.2880594068390026,-6.319590825643834e-05,0.012061520291926277,0.016734856053887467,0.0006158734466074,-0.46979853705291014,0.6711412708347856,0.5,0.00043782393185745074,-7.236905419915609e-05,-7.746158309456473e-05,40.691525337987855,40.69137923606547,40.69124273926903,40.691388841191404,0.013177747272019015
10.32,CIRCLE,-0.47636039839479166,0.6327807776076463,0.5002126424741021,-0.0905351498963944,-0.2982836482790525,-6.230850934722653e-05,0.010327232621467298,0.01798891142734376,0.0006210085171632822,-0.4846025636399153,0.6231273946513199,0.5,0.00043819006847368026,-6.587449662864104e-05,-8.555471709678522e-05,40.69158300146493,40.69142163491214,40.691297387637434,40.69145875419022,0.012695129272725335
10.48,CIRCLE,-0.4878914089688899,0.584322971266624,0.5002028107873191,-0.05963998309895169,-0.30548926352556766,-6.078141378575432e-05,0.008490749896018444,0.01902056121763146,0.0006220412300864787,-0.4945130899976477,0.5738701822183918,0.5,0.000438490703529515,-5.879933736655874e-05,-9.129792608936519e-05,40.69162785502634,40.6914556560862,40.6913447534183,40.69151695235845,0.012375321844255506
10.64,CIRCLE,-0.4944105697523091,0.5350079943381391,0.5001932871915539,-0.028082265491394157,-0.30960689466043956,-5.859617016591082e-05,0.006570472597089555,0.019822640515860378,0.0006196829741622862,-0.49943003996753427,0.5238670311942458,0.5,0.0004386972516645659,-5.130183874045807e-05,-9.491151621741879e-05,40.69165587142737,40.69147685681882,40.6913800953409,40.69155910994945,0.012221027000769557
10.8,CIRCLE,-0.4958479551875333,0.4853340370610163,0.5001841697807737,0.00376287557934662,-0.31059798760042606,-5.583899404449899e-05,0.004585493929572042,0.02039271913161052,0.0006147583313174285,-0.49930376235577156,0.47362287169968675,0.5,0.0004387983352495932,-4.31483698052201e-05,-9.70248380105322e-05,40.69166567882037,40.6914826782311,40.691401295182565,40.69158429577184,0.012211794127506505
10.96,CIRCLE,-0.4921929377108114,0.4358024991277295,0.5001755375570806,0.03552864415504103,-0.3084547715940691,-5.264643369824115e-05,0.0025552957470074454,0.02073210253038655,0.0006079575008790968,-0.4941355323093944,0.42364506755086845,0.5,0.00043879398457525307,-3.415749724878657e-05,-9.782139052303968e-05,40.69165728379927,40.69147278081554,40.69140835564099,40.69159285862472,0.012312905008747849
