t,mode,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u0,u1,u2,m1,m2,m3,m4,pos_error
19.6,HOVER,-0.444204668936254,-1.5923104721141284e-13,0.4930009029473567,9.379153648610665e-05,-9.200972243441504e-14,1.6486940442763762e-06,-4.8239838125882506e-14,0.11278526251627514,-5.533898654235146e-13,0.0,0.0,0.5,0.0012564846277508294,-2.770917018406576e-15,2.291019265520381e-07,40.816945278996826,40.8169457111108,40.8169457111108,40.816945278996826,0.4442598060418243
19.76,HOVER,-0.4441896415084179,-1.7582842315482445e-13,0.493001199092711,9.306550595271316e-05,-1.1134295950476294e-13,1.9586118426002124e-06,-5.3733065425125156e-14,0.11278106591414845,-5.961638585975447e-13,0.0,0.0,0.5,0.0012564058872951093,-4.2336425611911905e-15,3.104295625110657e-07,40.816933125542924,40.81693371105066,40.81693371105066,40.816933125542924,0.444244775813421
19.92,HOVER,-0.4441753328184796,-1.9531679591500585e-13,0.49300152707906714,8.626911885495668e-05,-1.28359608618328e-13,2.0890493467041795e-06,-6.051788544761694e-14,0.11277771484272339,-6.392823835615146e-13,0.0,0.0,0.5,0.0012563405954640612,-1.4285517621804029e-15,3.3170062314616313e-07,40.81692309139851,40.81692371702604,40.81692371702604,40.81692309139851,0.44423046373209496
20.080000000000002,HOVER,-0.4402702291185024,-2.1712194906618713e-13,0.49300224735950665,0.07520396363144077,-1.4075432518496774e-13,1.4890691465264859e-05,-6.864937926997153e-14,0.1115610896556346,-6.830591373705882e-13,0.0,0.0,0.5,0.001254908378303341,7.999448021699809e-16,-0.01110400832348284,40.8271754909187,40.80623198708846,40.80623198708846,40.8271754909187,0.44032583752271015
20.240000000000002,HOVER,-0.41224235446152563,-2.398952784067905e-13,0.49306617760686644,0.23766247295957965,-1.4015325397953192e-13,0.0009016044010639748,-7.595665338222009e-14,0.09322878866049952,-7.245419553471123e-13,0.0,0.0,0.5,0.0011534851135678583,3.0165213553968654e-15,-0.0038995278211897857,40.80482551430624,40.79747053280046,40.79747053280046,40.80482551430624,0.41230066299359946
20.400000000000002,HOVER,-0.36190845747901823,-2.5983765377937407e-13,0.49341242416971587,0.35934752994364216,-1.0968000009805824e-13,0.0030544964959917844,-7.991603225422349e-14,0.06539155252061593,-7.640604525065117e-13,0.0,0.0,0.5,0.0008770309173593927,4.243538643014003e-15,0.0004619593444977309,40.75831141759285,40.75918272883642,40.75918272883642,40.75831141759285,0.3619684071160936
20.56,HOVER,-0.29658231776481053,-2.7188504029642904e-13,0.4940755855705851,0.43473654312849996,-4.86602895667037e-14,0.004720993742296441,-7.84989823812078e-14,0.03861752394523344,-8.011722049914667e-13,0.0,0.0,0.5,0.0006005577002419249,4.1100799705295055e-15,0.0008024666030792937,40.71558643098287,40.717099980134286,40.717099980134286,40.71558643098287,0.29664148377642413
20.72,HOVER,-0.2233022839891347,-2.719129431844927e-13,0.4948933646583653,0.4680388276304168,3.4581451456986e-14,0.005210653057074155,-7.159438728211162e-14,0.01437015267133152,-8.372068542477406e-13,0.0,0.0,0.5,0.0004208296792739585,4.757516117218534e-15,0.0012052475850648614,40.68764093675096,40.68991417959074,40.68991417959075,40.68764093675098,0.22336066744007685
20.88,HOVER,-0.14828130406239928,-2.5730076501335614e-13,0.4956899560660231,0.46481514533954116,1.3012510824235303e-13,0.004714869753515023,-5.921213523265912e-14,-0.006569599564813957,-8.723716418133718e-13,0.0,0.0,0.5,0.0003459339694349832,4.2012712900648305e-15,0.0016168762960829502,40.6757656739016,40.67881529831772,40.67881529831772,40.6757656739016,0.14834393015273165
21.04,HOVER,-0.07673976091349012,-2.2710518396623588e-13,0.49634703681864095,0.4317102561022259,2.2723781704663638e-13,0.003653572011560762,-4.215874640266327e-14,-0.023405712216309667,-9.072784628456293e-13,0.0,0.0,0.5,0.0003513342905600495,4.208668014136235e-15,0.0018390170622402918,40.676384451825335,40.6798530606164,40.6798530606164,40.676384451825335,0.07682665582376987
21.2,HOVER,-0.012752420061608236,-1.8210607798299582e-13,0.49681494327681636,0.3761443965532758,3.153209929672223e-13,0.0024424844821897863,-2.1741980061230008e-14,-0.03574304268717783,-9.415303430145467e-13,0.0,0.0,0.5,0.00040207125357172985,3.0995062299728293e-15,0.001895582411964057,40.68411285007015,40.68768814795799,40.68768814795799,40.68411285007015,0.013144154737281722
21.36,HOVER,0.04081623972328053,-1.2465707606980545e-13,0.4971012549936833,0.30569739615274505,3.851305554589127e-13,0.0013915501307899183,5.53174731470488e-16,-0.0435655454244465,-9.752713140982027e-13,0.0,0.0,0.5,0.00046502807033571065,3.0658384054905027e-15,0.0018169763820326537,40.693842933805385,40.69726997120557,40.69726997120557,40.693842933805385,0.04091904382753768
21.52,HOVER,0.08228631251671381,-5.840125447897448e-14,0.49724955031414336,0.22759179176921088,4.2940789556875214e-13,0.000667682651186126,2.3539394008734084e-14,-0.04715786370430458,-1.0081625863749775e-12,0.0,0.0,0.5,0.0005161253963150323,1.8184753565923883e-15,0.0016345650973010693,40.70185197187427,40.7049349595107,40.7049349595107,40.70185197187427,0.08233226707113513
21.68,HOVER,0.11106501184942981,1.2038403301217249e-14,0.4973169429701423,0.14828873956254596,4.4296213160089076e-13,0.0003043533345962262,4.568955368745023e-14,-0.047029592886237745,-1.0402609188394714e-12,0.0,0.0,0.5,0.0005428858376826049,-3.803865342055123e-15,0.0013781045419534268,40.706198191873085,40.70879746385777,40.70879746385777,40.706198191873085,0.11109741514607553
