t,mode,dist_enabled,px,py,pz,vx,vy,vz,roll,pitch,yaw,ref_px,ref_py,ref_pz,u_lqr_0,u_lqr_1,u_lqr_2,du_dist_0,du_dist_1,du_dist_2,u_total_0,u_total_1,u_total_2,m1,m2,m3,m4,d_fx_raw,d_fy_raw,d_fz_raw,d_fx_filt,d_fy_filt,d_fz_filt,pos_error
27.44,HOVER,True,0.02253333711875553,1.3987704022316132e-10,0.5000364074420638,-0.05095505797645624,4.081438557755686e-11,-3.456607428469281e-05,-1.9224616990811906e-12,0.003987806442105429,4.4462211322407075e-13,0.0,0.0,0.5,0.00041042140360398634,2.3760423620573794e-12,-0.20015112617477837,0.0,-2.3798856113904044e-12,0.2,0.00041042140360398634,-3.843249333025016e-15,-0.00015112617477835988,40.687323718001444,40.6870386757421,40.6870386757421,40.687323718001444,-0.27173743446529447,5.204782754611325e-13,-3.0,-0.2860404560854338,5.045929654947621e-13,-2.9999999999999956,0.02253336653075442
27.52,HOVER,True,0.018672355219521517,1.4319720614609406e-10,0.5000335647116695,-0.047067152281927656,4.179968375892423e-11,-3.59277011604189e-05,-1.9699159042448694e-12,0.004477337894533425,4.476682198001181e-13,0.0,0.0,0.5,0.00041073227924284073,2.3974921026374873e-12,-0.20015621974396766,0.0,-2.401807622907149e-12,0.2,0.00041073227924284073,-4.315520269661813e-15,-0.00015621974396765048,40.687376201858186,40.68708155251078,40.68708155251078,40.687376201858186,-0.26485232266310177,5.291869725454641e-13,-3.0,-0.27891693177995774,5.127340810351449e-13,-2.9999999999999956,0.018672385386818202
27.6,HOVER,True,0.015140261888005309,1.4659757745990206e-10,0.5000306282194189,-0.042869522144022745,4.280971356366447e-11,-3.699191208541503e-05,-2.0184544865723766e-12,0.004873086534697621,4.5076118537294905e-13,0.0,0.0,0.5,0.0004110505241548957,2.420095798489129e-12,-0.20015866405166344,0.0,-2.4249700918900127e-12,0.2,0.0004110505241548957,-4.8742934008837506e-15,-0.00015866405166342634,40.68742731755763,40.68712805795003,40.68712805795001,40.68742731755761,-0.2580855366664246,5.381997977556998e-13,-3.0,-0.2719129225498311,5.211645938604634e-13,-2.9999999999999956,0.015140292867881084
27.68,HOVER,True,0.011957504199508502,1.5008016027052066e-10,0.5000276330709579,-0.03843942876412941,4.3844952909316264e-11,-3.75639621199594e-05,-2.0680133234556357e-12,0.005174889249636672,4.5387908992351915e-13,0.0,0.0,0.5,0.00041135113781180403,2.4455954539358972e-12,-0.20015858124328875,0.0,-2.4493662699258075e-12,0.2,0.00041135113781180403,-3.7708159899103025e-15,-0.00015858124328874124,40.68747334585341,40.68717424243243,40.68717424243243,40.68747334585341,-0.2514363402289903,5.47523866116212e-13,-3.0,-0.26502780033594325,5.298918258055078e-13,-2.9999999999999956,0.011957536128645986
27.76,HOVER,True,0.009138408546067093,1.536469945230872e-10,0.5000246264502611,-0.03385292704332296,4.490581662105598e-11,-3.751182481708453e-05,-2.118506785326025e-12,0.005384000036097405,4.574338609411598e-13,0.0,0.0,0.5,0.00041161333144855547,2.471114009095926e-12,-0.20015612946049313,0.0,-2.4750963027826947e-12,0.2,0.00041161333144855547,-3.982293686768808e-15,-0.0001561294604931207,40.6875112474218,40.68721676835997,40.68721676835997,40.6875112474218,-0.24490395351606797,5.571661737177275e-13,-3.0,-0.25826088504753075,5.389230150704945e-13,-2.9999999999999956,0.009138441728045574
27.84,HOVER,True,0.006691337438676543,1.5730015199745337e-10,0.5000216625936863,-0.029183799992227144,4.5992699066597166e-11,-3.67658880435906e-05,-2.1700419726374173e-12,0.005502983427492391,4.612315236478669e-13,0.0,0.0,0.5,0.00041182121695536875,2.497466150301718e-12,-0.20015149441727692,0.0,-2.502233230875677e-12,0.2,0.00041182121695536875,-4.767080573959099e-15,-0.0001514944172769095,40.68753876057572,40.68725302376644,40.687253023766424,40.687538760575706,-0.2384875568596769,5.671334569901343e-13,-3.0,-0.2516114487018277,5.482652624510862e-13,-2.9999999999999956,0.00669137250391873
27.92,HOVER,True,0.004618926011942227,1.610417398626453e-10,0.500018797992561,-0.02450259340142301,4.7106057886683925e-11,-3.5315073479427685e-05,-2.222689293423581e-12,0.005535593745792445,4.649667254917078e-13,0.0,0.0,0.5,0.00041196413072547804,2.5267708857429963e-12,-0.20014488285198487,0.0,-2.530741629264901e-12,0.2,0.00041196413072547804,-3.970743521904802e-15,-0.00014488285198485662,40.687554444759364,40.68728117816256,40.68728117816256,40.687554444759364,-0.23218629427052626,5.774321904046899e-13,-3.0,-0.24507871935915365,5.57925437745373e-13,-2.9999999999999956,0.004618964263589932
28.0,HOVER,True,0.0029183899269563064,1.6487390334262628e-10,0.500016086764095,-0.019875752867593705,4.824639105219398e-11,-3.32069071857643e-05,-2.2765363983718366e-12,0.005486687977423083,4.696044829788201e-13,0.0,0.0,0.5,0.0004120373750940722,2.5574555574730616e-12,-0.20013685107482604,0.0,-2.5606860969739656e-12,0.2,0.0004120373750940722,-3.230539500903943e-15,-0.00013685107482602765,40.68755810410625,40.68729998641341,40.68729998641341,40.68755810410625,-0.22599927676127554,5.880686334887386e-13,-3.0,-0.23866188484628398,5.679102311125426e-13,-2.9999999999999956,0.002918434263391778
28.080000000000002,HOVER,True,0.0015818970255593414,1.687988351270878e-10,0.5000135776639617,-0.015364866055884616,4.941432584070344e-11,-3.0510438875517394e-05,-2.331498605844727e-12,0.0053619084434534175,4.769089638544892e-13,0.0,0.0,0.5,0.0004120389068199586,2.587967541451307e-12,-0.20012654489684842,0.0,-2.5926250402651525e-12,0.2,0.0004120389068199586,-4.657498813845492e-15,-0.0001265448968484073,40.68754861968393,40.687309940690305,40.68730994069029,40.687548619683916,-0.2199255852378773,5.990490441429393e-13,-3.0,-0.23236009625683657,5.782261014056543e-13,-2.9999999999999956,0.0015819552940687601
28.16,HOVER,True,0.0005969848130700445,1.7281876864989103e-10,0.5000113111809094,-0.01102616438391616,5.0610297595778016e-11,-2.7348443062528638e-05,-2.3876749954359766e-12,0.005167741896962013,4.837200912622138e-13,0.0,0.0,0.5,0.0004119731651185531,2.621745069339002e-12,-0.20011538796876702,0.0,-2.626520981948187e-12,0.2,0.0004119731651185531,-4.775912609184982e-15,-0.00011538796876700563,40.687528014942444,40.68731037926572,40.687310379265696,40.68752801494242,-0.21396427305063956,6.103803903319109e-13,-3.0,-0.2261724710552372,5.888796960668396e-13,-2.9999999999999956,0.0005970919609657042
