t,controller,scenario,mode,px,py,pz,vx,vy,yaw,ref_px,ref_py,ref_pz,ex,ey,ez,pos_error,wind_on
7.032,PID,HOVER_NO_WIND,HOVER,-0.030684726725463952,-1.6812922944575658e-16,0.4901545682633058,0.00492658659778438,1.3690358648972212e-16,1.352977504785196e-15,0.0,0.0,0.5,-0.030684726725463952,-1.6812922944575658e-16,-0.009845431736694221,0.032225533049094895,0
7.04,PID,HOVER_NO_WIND,HOVER,-0.03064584171540628,-1.66964099181366e-16,0.4901643866336716,0.004860626257209041,1.3894879944123095e-16,1.3768768165756765e-15,0.0,0.0,0.5,-0.03064584171540628,-1.66964099181366e-16,-0.009835613366328377,0.03218550768183769,0
7.048,PID,HOVER_NO_WIND,HOVER,-0.030607479426903495,-1.6578040881779616e-16,0.4901743007750089,0.004795286062848031,1.4124692143482704e-16,1.4002030167551394e-15,0.0,0.0,0.5,-0.030607479426903495,-1.6578040881779616e-16,-0.009825699224991102,0.03214595094453283,0
7.056,PID,HOVER_NO_WIND,HOVER,-0.03056963488662175,-1.6457315457178175e-16,0.4901843060942966,0.004730567535218134,1.4417666988391504e-16,1.4226857174709412e-15,0.0,0.0,0.5,-0.03056963488662175,-1.6457315457178175e-16,-0.009815693905703415,0.03210685945326675,0
7.064,PID,HOVER_NO_WIND,HOVER,-0.030532303111356785,-1.6333280688346277e-16,0.4901943980976825,0.0046664719081206075,1.4830018153307796e-16,1.4450487733697812e-15,0.0,0.0,0.5,-0.030532303111356785,-1.6333280688346277e-16,-0.009805601902317496,0.03206822979134489,0
7.072,PID,HOVER_NO_WIND,HOVER,-0.030495479110247636,-1.6204935669733948e-16,0.4902045723892825,0.004603000138643592,1.5367691053036108e-16,1.4673826920718153e-15,0.0,0.0,0.5,-0.030495479110247636,-1.6204935669733948e-16,-0.0097954276107175,0.032030058511347693,0
7.08,PID,HOVER_NO_WIND,HOVER,-0.030459157886912433,-1.607128210296939e-16,0.4902148246699759,0.004540152916900418,1.6036147915627107e-16,1.4769280731640936e-15,0.0,0.0,0.5,-0.030459157886912433,-1.607128210296939e-16,-0.009785175330024098,0.031992342137129814,0
7.088,PID,HOVER_NO_WIND,HOVER,-0.030423334441508267,-1.5931465515335707e-16,0.49022515073619793,0.004477930675520713,1.681181077129944e-16,1.4856475705342458e-15,0.0,0.0,0.5,-0.030423334441508267,-1.5931465515335707e-16,-0.009774849263802066,0.031955077165763734,0
7.096,PID,HOVER_NO_WIND,HOVER,-0.030388003772717172,-1.578417980388979e-16,0.4902355464787293,0.004416333598886934,1.7750956229505e-16,1.4939036792894852e-15,0.0,0.0,0.5,-0.030388003772717172,-1.578417980388979e-16,-0.0097644535212707,0.03191826006942936,0
7.104,PID,HOVER_NO_WIND,HOVER,-0.030353160879660116,-1.5627870134327633e-16,0.4902460078814844,0.004355361632131946,1.888450790023282e-16,1.5020584977612556e-15,0.0,0.0,0.5,-0.030353160879660116,-1.5627870134327633e-16,-0.009753992118515575,0.03188188729725066,0
